"","species","timestep","sim_mean","sim_sd","sim_cv","true_mean","true_sd","true_cv","rel_err_mean","rel_err_cv","ratio","true_mean_rescale","sim_mean_rescale","true_cv_rescale","sim_cv_rescale"
"122",11,54,4527.86266913829,272.229161950714,0.0601231048384519,2154.7594684014,0.212558439234269,9.86460170387204e-05,110.133090748058,60848.3349082938,2.10133090748058,0.102132507696826,0.431347076165432,0.297976056824986,0.349591019197308
"123",11,55,3872.6983228655,201.525819364579,0.0520375724013188,2177.08820138632,0.23059408164792,0.000105918575784428,77.8843098961016,49029.7886286055,1.77884309896102,0.216987821385511,0,0.658322080456795,0
"124",11,56,4607.1155850015,276.956393680116,0.0601149219224604,2198.96410181827,0.224880005737315,0.000102266337841244,109.512996651104,58682.7071854099,2.09512996651104,0.329513839231342,0.483525607750158,0.477358341805612,0.349237217643272
"125",11,57,4143.51971657513,243.809412452338,0.0588411372768515,2202.30212626241,0.220286265696164,0.000100025452034603,88.1449264914087,58726.1648210258,1.88144926491409,0.346684085518509,0.178303378387839,0.366325304043938,0.294163086661959
"126",11,58,5082.29915454656,291.984995273567,0.0574513593935849,2205.56192712544,0.204306094423907,9.26322185340692e-05,130.431034016371,61920.9256593103,2.30431034016372,0.363451962627317,0.796376947312787,0,0.234073801207147
"127",11,59,4472.82993789733,245.449213347481,0.0548755970505033,2206.57231967708,0.214378563278427,9.71545602048522e-05,102.70488748594,56382.7805661382,2.0270488748594,0.368649254992517,0.395114628766191,0.224076270203104,0.122706567233474
"128",11,6,5391.57808924073,341.784466800873,0.0633922872197527,2288.81154645166,0.236347023513131,0.000103261897590275,135.562342281927,61289.8143449599,2.35562342281927,0.791674251309691,1,0.526687059440667,0.490939385493151
"129",11,60,4538.28192111141,285.777858697819,0.0629704949285813,2207.40834421685,0.219433973339604,9.94079658684336e-05,105.59322125429,63245.5220398763,2.0559322125429,0.372949627110885,0.438206902863889,0.335729650931063,0.472702516356004
"130",11,61,4633.48765159261,274.196979675971,0.0591772332838149,2206.16934866193,0.217681141320795,9.86692800590402e-05,110.02411507543,59875.3370536456,2.1002411507543,0.366576438662852,0.500888447900466,0.29912870985441,0.30869473891072
"131",11,62,4955.94103353312,320.095456332392,0.0645882293930753,2200.01480483354,0.222460119740992,0.000101117555778369,125.268531041004,63774.3973743204,2.25268531041004,0.334918481962013,0.713185292640216,0.420437653661156,0.542647871795526
"132",11,63,4944.3512150215,329.078305011837,0.066556417758524,2193.52944694582,0.222306856017724,0.000101346647671977,125.406192832552,65572.046670891,2.25406192832552,0.301558872391639,0.705554788390839,0.431788865221555,0.627745666158399
"133",11,64,4465.7906955149,275.739569514035,0.061744848407465,2184.04593207344,0.226421776001136,0.000103670794041489,104.473295636016,59458.5757573681,2.04473295636016,0.252777238598334,0.390480132647235,0.546947357834107,0.419709714728631
"134",11,65,4456.17216171246,264.428940654889,0.0593399292170238,2175.56413722652,0.206493800949799,9.49150601521883e-05,104.828351665758,62418.9818368941,2.04828351665758,0.209148287128333,0.384147482746055,0.113111894786131,0.315729159655671
